Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","8 WEEKS BANK DISCOUNT","8 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
12/31/2020,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.10,0.10
12/30/2020,0.06,0.06,0.06,0.06,0.08,0.08,0.09,0.09,0.12,0.12
12/29/2020,0.08,0.08,0.09,0.09,0.10,0.10,0.12,0.12,0.11,0.11
12/28/2020,0.09,0.09,0.10,0.10,0.11,0.11,0.11,0.11,0.11,0.11
12/24/2020,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.10
12/23/2020,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09
12/22/2020,0.06,0.06,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
12/21/2020,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
12/18/2020,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09
12/17/2020,0.08,0.08,0.09,0.09,0.08,0.08,0.09,0.09,0.09,0.09
12/16/2020,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09
12/15/2020,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09
12/14/2020,0.07,0.07,0.08,0.08,0.09,0.09,0.08,0.08,0.10,0.10
12/11/2020,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.10,0.10
12/10/2020,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.09,0.10,0.10
12/09/2020,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.10,0.10
12/08/2020,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.10,0.10
12/07/2020,0.09,0.09,0.08,0.08,0.08,0.08,0.10,0.10,0.10,0.10
12/04/2020,0.07,0.07,0.07,0.07,0.09,0.09,0.10,0.10,0.11,0.11
12/03/2020,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.10,0.10
12/02/2020,0.07,0.07,0.08,0.08,0.09,0.09,0.10,0.10,0.11,0.11
12/01/2020,0.07,0.07,0.07,0.07,0.09,0.09,0.10,0.10,0.12,0.12
11/30/2020,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.11,0.11
11/27/2020,0.09,0.09,0.09,0.09,0.09,0.09,0.10,0.10,0.11,0.11
11/25/2020,0.07,0.07,0.07,0.07,0.09,0.09,0.09,0.09,0.11,0.11
11/24/2020,0.08,0.08,0.08,0.08,0.09,0.09,0.10,0.10,0.11,0.11
